team_id,date,function_calls,query_execution_ms,peak_concurrent_queries,db_bandwidth_gb,db_storage_gb
101593,2026-05-24,83664,2545737,0.163119,1.288,23.036
101593,2026-05-25,84632,2346158,0.168813,1.101,23.124
101593,2026-05-26,85025,2592063,0.133473,1.337,22.673
101593,2026-05-27,108538,2709336,0.200631,1.461,23.358
101593,2026-05-28,103760,2656044,0.156166,1.353,23.815
101593,2026-05-29,61839,1601168,0.129131,0.742,23.819
101593,2026-05-30,95871,2423263,0.200482,1.738,23.883
101593,2026-05-31,88520,2523487,0.227933,1.24,24.126
101593,2026-06-01,66837,1914524,0.133277,0.925,24.178
101593,2026-06-02,88338,2872942,0.246111,0.78,24.027
101593,2026-06-03,84209,2207447,0.169649,1.248,24.765
101593,2026-06-04,81494,2513930,0.192813,0.844,25.304
101593,2026-06-05,87407,2627410,0.170103,1.38,24.347
101593,2026-06-06,101857,3027827,0.10373,1.29,24.387
101593,2026-06-07,94353,2712753,0.206053,1.13,24.174
101593,2026-06-08,91275,2814688,0.186418,1.547,25.116
101593,2026-06-09,104288,2870357,0.190707,1.311,24.987
101593,2026-06-10,104412,3216911,0.230093,1.356,25.368
101593,2026-06-11,91079,2599653,0.232932,1.614,25.67
101593,2026-06-12,109142,3234551,0.110974,1.525,25.656
101593,2026-06-13,84905,2890876,0.140275,1.01,26.524
101593,2026-06-14,97594,2490577,0.110544,1.087,25.28
101593,2026-06-15,107384,3592863,0.176015,1.364,25.735
101593,2026-06-16,93458,2582250,0.976119,1.087,25.425
101593,2026-06-17,113409,3038692,0.105744,2.104,26.734
101593,2026-06-18,79590,2086665,0.123411,1.271,28.037
101593,2026-06-19,120832,2928863,0.241075,1.368,26.919
101593,2026-06-20,98635,3000693,0.332975,1.266,27.414
101593,2026-06-21,99262,2905847,0.290095,1.367,26.887
101593,2026-06-22,115430,2738539,0.29077,1.421,26.85
101593,2026-06-23,89267,2377489,0.259604,1.206,27.512
101593,2026-06-24,84791,2191141,0.240903,1.249,27.451
101593,2026-06-25,125794,3240362,0.24879,1.602,29.154
101593,2026-06-26,128505,3791806,0.434739,1.885,26.828
101593,2026-06-27,100196,2471889,0.103116,1.084,28.442
101593,2026-06-28,100927,2830166,0.183263,1.183,28.557
101593,2026-06-29,131992,3904792,0.200821,2.0,29.403
101593,2026-06-30,113972,3468273,0.251311,1.197,29.014
101593,2026-07-01,89937,2490043,0.117722,0.993,29.207
101593,2026-07-02,113350,2842018,0.138557,1.229,29.361
101593,2026-07-03,101454,3303253,0.176962,1.514,29.205
101593,2026-07-04,103415,3565972,0.257446,1.581,30.075
101593,2026-07-05,104726,3024452,0.210119,1.454,30.031
101593,2026-07-06,100088,3062535,0.187845,1.178,30.038
101593,2026-07-07,119664,3290099,0.13972,1.574,29.462
101593,2026-07-08,98024,2680810,0.94405,1.672,30.689
101593,2026-07-09,136494,3164876,0.130939,1.662,29.782
101593,2026-07-10,117774,3138362,0.100413,1.696,29.214
101593,2026-07-11,95105,2594211,0.18479,1.139,30.285
101593,2026-07-12,121842,3168146,0.232111,1.364,30.847
101593,2026-07-13,126209,3940753,0.145162,1.826,30.54
101593,2026-07-14,120418,3707950,0.512864,1.82,31.4
101593,2026-07-15,119760,3148560,0.182371,1.337,30.84
101593,2026-07-16,145513,3977684,0.159643,2.429,31.789
101593,2026-07-17,127837,3286995,0.233024,2.366,31.479
101593,2026-07-18,156881,4186345,0.242077,3.178,32.012
101593,2026-07-19,126207,4447402,0.308407,1.768,32.546
101593,2026-07-20,128286,4120634,0.149049,2.193,32.372
101593,2026-07-21,118152,3670603,0.400563,1.441,32.703
101593,2026-07-22,122053,3017346,0.142795,1.613,32.971
101593,2026-07-23,127296,4125561,0.433678,2.072,32.926
101593,2026-07-24,111470,2580265,0.194532,1.413,33.59
101593,2026-07-25,122539,3436375,0.236776,2.13,32.783
101593,2026-07-26,149316,4310392,0.216538,2.305,33.598
101593,2026-07-27,161869,4337962,0.297298,1.774,33.94
101593,2026-07-28,158956,4699900,0.244172,1.976,34.045
101593,2026-07-29,138586,4200917,0.21006,1.766,33.702
101593,2026-07-30,113838,2936913,0.150737,1.892,34.782
101593,2026-07-31,121928,3115046,0.28282,1.385,34.24
101593,2026-08-01,145594,5323439,0.725933,1.757,35.262
101593,2026-08-02,143994,3671007,0.291181,1.843,34.648
101593,2026-08-03,131360,3893360,0.161529,2.444,36.198
101593,2026-08-04,136891,4224455,0.126369,1.595,35.259
101593,2026-08-05,143918,4077963,1.132089,1.565,34.004
101593,2026-08-06,141849,4091839,0.234446,1.562,35.997
101593,2026-08-07,133379,4297458,0.554065,2.216,35.109
101593,2026-08-08,129272,5353612,0.347716,1.889,36.961
101593,2026-08-09,130916,3685061,0.245716,2.295,36.299
101593,2026-08-10,134603,4046439,0.163405,1.769,35.89
101593,2026-08-11,157728,4103555,0.311909,3.105,37.018
101593,2026-08-12,148870,3970219,0.223101,1.722,36.595
101593,2026-08-13,196422,6023807,0.373518,3.132,37.434
101593,2026-08-14,147421,3678794,0.449217,1.703,38.417
101593,2026-08-15,163813,5673010,1.077592,1.791,37.687
101593,2026-08-16,169687,5976692,0.201437,2.224,37.444
101593,2026-08-17,183464,4674621,0.16596,1.826,39.178
101593,2026-08-18,212440,5194455,0.591153,3.627,38.345
101751,2026-05-21,47505830,2657626930,609.228781,76.921,211.062
101751,2026-05-22,39521623,1859475900,510.638145,74.855,232.265
101751,2026-05-23,34129983,1772103931,269.958998,84.053,228.441
101751,2026-05-24,20719412,1520716804,215.397955,43.605,221.419
101751,2026-05-25,28484181,1445737016,3074.216916,38.367,226.779
101751,2026-05-26,41791251,2640565075,401.172291,98.03,229.967
101751,2026-05-27,42082766,2446829903,443.053605,112.647,227.62
101751,2026-05-28,26413033,1695248935,296.890936,61.707,226.892
101751,2026-05-29,27657752,1342521842,218.939301,70.169,231.071
101751,2026-05-30,24096376,1545478105,346.312079,54.585,235.079
101751,2026-05-31,23329618,1276937623,176.059647,53.256,224.977
101751,2026-06-01,43641917,2871562733,612.518263,121.793,233.377
101751,2026-06-02,33139166,1833721041,307.441967,92.954,230.578
101751,2026-06-03,62905179,3360404897,410.496764,121.629,234.303
101751,2026-06-04,38631073,2113462167,714.940991,79.22,230.638
101751,2026-06-05,39237301,2388202043,376.73252,79.874,236.143
101751,2026-06-06,18428153,1203577136,388.491481,43.435,235.93
101751,2026-06-07,38034253,1968595670,462.860498,82.171,227.329
101751,2026-06-08,47467583,1967063547,2031.761952,115.603,232.569
101751,2026-06-09,35715575,2091334919,4183.761187,82.407,236.806
101751,2026-06-10,46408487,2351499140,197.064636,86.834,238.742
101751,2026-06-11,30047475,1975832815,592.094135,78.047,245.01
101751,2026-06-12,55315456,3632368886,603.475311,111.138,234.928
101751,2026-06-13,28139410,1719049400,307.764972,46.374,245.747
101751,2026-06-14,34302395,2311131134,874.490121,68.888,240.358
101751,2026-06-15,22457889,1138958986,174.454165,42.848,235.562
101751,2026-06-16,41595120,2879673330,391.069638,76.124,245.809
101751,2026-06-17,34637304,2870885691,1044.912093,88.365,248.347
101751,2026-06-18,49464970,2358651090,408.813719,87.039,246.451
101751,2026-06-19,28604716,2242420399,607.807987,54.244,243.24
101751,2026-06-20,16408016,1203022934,325.99107,26.244,253.371
101751,2026-06-21,18475553,947570360,254.651797,43.32,244.839
101751,2026-06-22,30379203,1790826594,651.373668,77.966,252.129
101751,2026-06-23,42323388,2704034004,428.349562,94.762,262.52
101751,2026-06-24,31107683,1955520705,717.800839,78.366,246.559
101751,2026-06-25,31445448,1705413916,457.369959,54.275,258.022
101751,2026-06-26,49407421,2638413650,698.714631,109.925,254.898
101751,2026-06-27,27931133,1869365727,251.414246,54.238,250.272
101751,2026-06-28,27737751,1533778548,216.71655,55.48,255.873
101751,2026-06-29,37784408,2012847840,520.196936,90.053,260.297
101751,2026-06-30,43543923,2825854446,431.991728,118.424,257.909
101751,2026-07-01,51653607,2986273558,625.20674,139.911,262.853
101751,2026-07-02,43812416,2612926513,459.509082,57.512,256.898
101751,2026-07-03,29315978,1713748827,164.688141,52.923,263.546
101751,2026-07-04,35485602,1755723085,330.84916,68.21,259.016
101751,2026-07-05,41856983,2108675194,666.947888,110.238,262.26
101751,2026-07-06,41879872,2265269070,256.917495,86.847,255.588
101751,2026-07-07,51382892,3349202313,719.324102,97.716,272.568
101751,2026-07-08,26320742,1586108549,227.283043,45.543,262.915
101751,2026-07-09,45800202,2304075208,673.834278,112.548,260.68
101751,2026-07-10,40465366,2253269104,576.201269,88.436,274.754
101751,2026-07-11,26398128,1593157858,410.20814,55.01,272.401
101751,2026-07-12,52792073,2449093874,592.647008,115.107,275.691
101751,2026-07-13,42491185,3021673301,485.328663,93.036,259.178
101751,2026-07-14,52366936,3415803663,1404.371117,101.543,270.56
101751,2026-07-15,44776821,2930593236,1082.261598,90.575,273.805
101751,2026-07-16,24708718,1607695764,283.332116,53.763,272.266
101751,2026-07-17,31831373,1760410111,595.767577,72.497,274.944
101751,2026-07-18,40447370,2574941905,514.724965,85.554,285.253
101751,2026-07-19,34751222,2249613726,309.919638,68.201,271.769
101751,2026-07-20,53288960,2908755953,762.298637,80.801,272.376
101751,2026-07-21,31360229,1757385592,282.376579,67.824,270.013
101751,2026-07-22,40464713,2223982615,362.015026,98.601,279.434
101751,2026-07-23,32847604,2197995521,2567.787429,74.6,281.318
101751,2026-07-24,45861875,3893116890,835.000774,109.792,281.946
101751,2026-07-25,16444679,1023379395,429.620757,36.09,291.733
101751,2026-07-26,24512088,1505670699,381.220281,35.624,282.807
101751,2026-07-27,49997069,3005200742,992.366406,86.582,283.352
101751,2026-07-28,38867632,2261940040,523.993311,60.231,274.737
101751,2026-07-29,41959418,2103862931,274.735661,73.517,287.728
101751,2026-07-30,27661945,1791498585,326.933493,63.451,285.478
101751,2026-07-31,45025005,2847002260,593.460763,111.145,283.991
101751,2026-08-01,33545709,2062806027,500.976457,86.82,279.082
101751,2026-08-02,32953288,1805511227,146.888088,73.309,291.563
101751,2026-08-03,41753305,2290255531,610.5161,140.543,291.128
101751,2026-08-04,50031654,2942678391,451.22421,127.291,288.312
101751,2026-08-05,45475817,2625213168,611.016712,100.622,301.782
101751,2026-08-06,38898170,1739566837,159.853165,67.68,295.991
101751,2026-08-07,38390522,2518714144,642.069056,115.257,288.984
101751,2026-08-08,34861151,2046472853,470.249264,70.432,287.172
101751,2026-08-09,33349148,2000767512,216.765117,70.511,305.539
101751,2026-08-10,37383634,1851839803,629.564982,79.216,306.159
101751,2026-08-11,56483947,3641944348,655.232418,114.913,293.919
101751,2026-08-12,59867235,2912403364,726.575791,93.964,313.747
101751,2026-08-13,46360898,2555418798,3011.769254,80.605,309.541
101751,2026-08-14,49320585,3186800526,959.288264,98.787,310.738
101751,2026-08-15,19889582,1064834207,233.646285,40.876,314.152
101751,2026-08-16,35195266,1953812916,210.546106,69.309,309.131
101751,2026-08-17,37380319,2438212370,432.135769,73.669,300.047
101751,2026-08-18,40870240,3028715319,1226.133833,89.162,311.584
102500,2026-05-21,72486,708482,0.183786,0.171,16.914
102500,2026-05-22,117070,941948,0.219592,0.272,17.935
102500,2026-05-23,136554,983516,0.290607,0.301,17.531
102500,2026-05-24,124540,888449,0.17541,0.23,17.491
102500,2026-05-25,92218,844869,0.190773,0.222,17.886
102500,2026-05-26,55230,367539,0.087486,0.143,17.707
102500,2026-05-27,115788,956386,0.11076,0.242,18.448
102500,2026-05-28,52839,480472,0.073962,0.133,17.681
102500,2026-05-29,80127,773063,0.128124,0.183,18.734
102500,2026-05-30,230135,2104150,0.422158,0.501,18.736
102500,2026-05-31,154457,1420214,0.231291,0.337,18.732
102500,2026-06-01,61977,514644,0.100393,0.088,18.616
102500,2026-06-02,88149,644437,0.128199,0.378,19.62
102500,2026-06-03,107874,856960,0.237149,0.146,19.343
102500,2026-06-04,104275,877248,0.310478,0.274,19.031
102500,2026-06-05,90806,668010,0.168002,0.212,19.81
102500,2026-06-06,185051,1574641,0.236065,0.558,20.209
102500,2026-06-07,151359,1383446,0.349091,0.375,20.151
102500,2026-06-08,71754,563474,0.08649,0.155,19.782
102500,2026-06-09,104661,1108234,0.292137,0.215,20.246
102500,2026-06-10,57003,557490,0.135018,0.092,21.062
102500,2026-06-11,104708,905736,0.994424,0.206,20.618
102500,2026-06-12,104133,1404197,0.466327,0.202,20.289
102500,2026-06-13,95780,786085,0.189062,0.192,20.649
102500,2026-06-14,183164,1611175,0.376369,0.391,20.918
102500,2026-06-15,127059,1234196,0.283664,0.25,21.348
102500,2026-06-16,73521,741444,0.150227,0.14,21.028
102500,2026-06-17,107710,901919,0.233641,0.25,21.634
102500,2026-06-18,155164,1147044,0.186198,0.356,22.405
102500,2026-06-19,195304,1816774,0.322704,0.502,21.236
102500,2026-06-20,69732,431929,0.150177,0.155,22.17
102500,2026-06-21,122651,1222116,0.187223,0.224,23.545
102500,2026-06-22,95056,968950,0.15613,0.186,23.916
102500,2026-06-23,97084,812557,0.122379,0.199,23.317
102500,2026-06-24,129854,965376,0.203132,0.324,23.005
102500,2026-06-25,83935,686349,0.19371,0.193,23.261
102500,2026-06-26,88654,675825,0.186523,0.198,23.587
102500,2026-06-27,119256,950983,0.192778,0.216,23.749
102500,2026-06-28,164095,1378952,0.159992,0.3,23.862
102500,2026-06-29,132695,947676,0.172229,0.279,24.53
102500,2026-06-30,61976,477600,0.130039,0.155,24.054
102500,2026-07-01,169634,1499762,0.318376,0.571,25.538
102500,2026-07-02,136937,1099889,0.314533,0.22,24.328
102500,2026-07-03,120970,978103,0.261758,0.253,25.613
102500,2026-07-04,198243,1591404,0.258172,0.456,24.83
102500,2026-07-05,174328,1675001,0.365192,0.357,25.517
102500,2026-07-06,156829,1400007,0.354518,0.356,26.02
102500,2026-07-07,107807,886195,0.202589,0.223,26.453
102500,2026-07-08,131513,1199965,0.124208,0.35,27.845
102500,2026-07-09,100623,804215,0.173587,0.246,25.827
102500,2026-07-10,172213,1828270,0.420363,0.509,26.694
102500,2026-07-11,190922,1552636,0.491798,0.442,27.73
102500,2026-07-12,193489,1558120,0.488757,0.468,26.794
102500,2026-07-13,184746,1374631,0.113252,0.328,26.855
102500,2026-07-14,138552,1148180,0.134673,0.306,27.888
102500,2026-07-15,94573,710354,0.108306,0.205,27.557
102500,2026-07-16,230306,1892918,0.479333,0.574,28.95
102500,2026-07-17,227842,1401609,0.333964,0.425,27.855
102500,2026-07-18,246402,2126711,0.815242,0.559,29.744
102500,2026-07-19,132162,1160205,0.188364,0.249,28.6
102500,2026-07-20,153141,1215924,0.283821,0.405,28.777
102500,2026-07-21,133429,1354212,0.17069,0.317,29.681
102500,2026-07-22,119739,821791,0.197435,0.285,29.866
102500,2026-07-23,136815,1116398,0.697285,0.343,29.459
102500,2026-07-24,242988,1488340,0.901739,0.573,30.783
102500,2026-07-25,197214,1414827,0.358191,0.493,30.544
102500,2026-07-26,179666,1595353,0.258142,0.608,31.088
102500,2026-07-27,93637,817501,0.16006,0.287,31.835
102500,2026-07-28,183662,1433376,0.319051,0.416,31.4
102500,2026-07-29,179681,1761926,0.232344,0.345,31.516
102500,2026-07-30,155974,1459465,0.239638,0.375,31.715
102500,2026-07-31,243761,2077883,0.570389,0.433,32.545
102500,2026-08-01,290665,2563174,0.47758,0.624,31.999
102500,2026-08-02,137285,1304489,0.687598,0.378,32.92
102500,2026-08-03,148919,1291275,0.192666,0.339,33.304
102500,2026-08-04,116476,957001,0.197469,0.341,32.712
102500,2026-08-05,203264,1765409,0.404745,0.546,33.785
102500,2026-08-06,189903,1310377,0.714964,0.596,33.529
102500,2026-08-07,170858,1420937,0.47311,0.467,33.255
102500,2026-08-08,295966,2525040,0.27217,0.657,34.299
102500,2026-08-09,173543,1697027,0.339366,0.356,35.075
102500,2026-08-10,153583,1047828,0.265097,0.461,35.253
102500,2026-08-11,132989,926929,0.199808,0.331,34.632
102500,2026-08-12,156295,1192100,0.309506,0.317,35.352
102500,2026-08-13,202387,2070899,0.602461,0.623,36.518
102500,2026-08-14,210981,1388649,0.218941,0.48,35.886
102500,2026-08-15,161382,1174103,0.284669,0.381,36.864
102500,2026-08-16,320325,3469401,1.091052,0.782,35.777
102500,2026-08-17,116404,890037,0.132355,0.313,37.857
102500,2026-08-18,132772,863653,0.190117,0.272,38.248
103395,2026-05-21,0,0,0.0,0.0,1.045
103395,2026-05-22,48,2223,2.9e-05,0.0,0.996
103395,2026-05-23,11,548,7e-06,0.0,1.021
103395,2026-05-24,30,1782,2.1e-05,0.0,1.011
103395,2026-05-25,34,1648,2.3e-05,0.0,1.053
103395,2026-05-26,58,2619,3.1e-05,0.001,1.019
103395,2026-05-27,0,0,0.0,0.0,1.015
103395,2026-05-28,53,2443,2.9e-05,0.001,1.005
103395,2026-05-29,68,3151,4e-05,0.0,0.999
103395,2026-05-30,41,1878,2.2e-05,0.0,0.997
103395,2026-05-31,0,0,0.0,0.0,1.041
103395,2026-06-01,52,2488,3.5e-05,0.0,1.008
103395,2026-06-02,44,1581,1.9e-05,0.0,1.047
103395,2026-06-03,35,1711,3e-05,0.0,1.001
103395,2026-06-04,52,2697,3.7e-05,0.0,1.049
103395,2026-06-05,86,3677,4.3e-05,0.001,1.007
103395,2026-06-06,78,3218,3.8e-05,0.001,0.994
103395,2026-06-07,0,0,0.0,0.0,1.022
